# BUSCO version is: 5.3.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-08-05, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
183849at4751	Complete	H9P43_007279-T1	634.9	452	https://www.orthodb.org/v10?query=183849at4751	Oligosaccharyl transferase STT3 subunit
184718at4751	Complete	H9P43_004370-T1	670.7	707	https://www.orthodb.org/v10?query=184718at4751	Pre-mRNA-processing factor 6
184762at4751	Complete	H9P43_001097-T1	583.8	305	https://www.orthodb.org/v10?query=184762at4751	26S proteasome regulatory subunit 8
185196at4751	Complete	H9P43_008285-T1	296.5	504	https://www.orthodb.org/v10?query=185196at4751	Exocyst complex component SEC15
185399at4751	Complete	H9P43_003611-T1	354.2	291	https://www.orthodb.org/v10?query=185399at4751	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase
186138at4751	Complete	H9P43_004777-T1	300.1	272	https://www.orthodb.org/v10?query=186138at4751	DNA primase
186574at4751	Complete	H9P43_000943-T1	499.0	366	https://www.orthodb.org/v10?query=186574at4751	Adenylosuccinate lyase
186701at4751	Missing
187821at4751	Complete	H9P43_003536-T1	529.8	384	https://www.orthodb.org/v10?query=187821at4751	GMP synthase
188070at4751	Complete	H9P43_001518-T1	561.0	297	https://www.orthodb.org/v10?query=188070at4751	ATPase, AAA-type, conserved site
189234at4751	Missing
189573at4751	Complete	H9P43_005427-T1	317.8	255	https://www.orthodb.org/v10?query=189573at4751	Coatomer subunit delta
190183at4751	Complete	H9P43_001376-T1	330.6	251	https://www.orthodb.org/v10?query=190183at4751	Prephenate dehydrogenase
190475at4751	Complete	H9P43_000411-T1	427.9	432	https://www.orthodb.org/v10?query=190475at4751	digestive organ expansion factor
190832at4751	Complete	H9P43_001783-T1	238.8	258	https://www.orthodb.org/v10?query=190832at4751	PAN2-PAN3 deadenylation complex subunit PAN3
191114at4751	Complete	H9P43_005663-T1	461.8	333	https://www.orthodb.org/v10?query=191114at4751	Phenylalanyl-tRNA synthetase alpha chain
191296at4751	Missing
191310at4751	Complete	H9P43_007986-T1	162.2	401	https://www.orthodb.org/v10?query=191310at4751	Vps16, C-terminal
192059at4751	Missing
192135at4751	Complete	H9P43_003195-T1	416.4	606	https://www.orthodb.org/v10?query=192135at4751	Rho GTPase activation protein
192452at4751	Complete	H9P43_006182-T1	481.3	433	https://www.orthodb.org/v10?query=192452at4751	Dihydropteroate synthase
195619at4751	Complete	H9P43_007888-T1	517.8	459	https://www.orthodb.org/v10?query=195619at4751	Pyridoxal phosphate-dependent transferase
195863at4751	Complete	H9P43_001969-T1	424.3	807	https://www.orthodb.org/v10?query=195863at4751	Exportin-T
196015at4751	Complete	H9P43_003974-T1	636.3	363	https://www.orthodb.org/v10?query=196015at4751	putative rRNA pseudouridine synthase
196094at4751	Complete	H9P43_002479-T1	242.9	433	https://www.orthodb.org/v10?query=196094at4751	Translocation protein sec63
196841at4751	Missing
197111at4751	Complete	H9P43_002604-T1	527.1	315	https://www.orthodb.org/v10?query=197111at4751	Cysteine desulfurase
197612at4751	Complete	H9P43_009433-T1	176.1	200	https://www.orthodb.org/v10?query=197612at4751	WD40 repeat
198196at4751	Duplicated	H9P43_007274-T1	475.2	362	https://www.orthodb.org/v10?query=198196at4751	Threonine dehydratase
198196at4751	Duplicated	H9P43_008312-T1	429.7	360	https://www.orthodb.org/v10?query=198196at4751	Threonine dehydratase
198234at4751	Fragmented	H9P43_009783-T1	92.9	168	https://www.orthodb.org/v10?query=198234at4751	Conserved oligomeric Golgi complex subunit 3
200331at4751	Missing
201591at4751	Missing
202089at4751	Complete	H9P43_005262-T1	179.0	210	https://www.orthodb.org/v10?query=202089at4751	Mitochondrial import receptor subunit TOM40
202248at4751	Complete	H9P43_003584-T1	159.5	211	https://www.orthodb.org/v10?query=202248at4751	Amino-acid acetyltransferase, mitochondrial
203109at4751	Complete	H9P43_009544-T1	174.0	240	https://www.orthodb.org/v10?query=203109at4751	Protein DOM34 homolog
203710at4751	Complete	H9P43_001044-T1	389.3	326	https://www.orthodb.org/v10?query=203710at4751	cytochrome oxidase assembly
204087at4751	Complete	H9P43_003562-T1	532.1	299	https://www.orthodb.org/v10?query=204087at4751	Chorismate synthase
204341at4751	Fragmented	H9P43_003368-T1	350.8	346	https://www.orthodb.org/v10?query=204341at4751	Condensin complex subunit 2
204508at4751	Complete	H9P43_009139-T1	118.3	232	https://www.orthodb.org/v10?query=204508at4751	mRNA cleavage and polyadenylation factor CLP1
205479at4751	Missing
207926at4751	Complete	H9P43_001562-T1	343.4	512	https://www.orthodb.org/v10?query=207926at4751	actin-like ATPase domain-containing protein
208463at4751	Complete	H9P43_000311-T1	407.3	451	https://www.orthodb.org/v10?query=208463at4751	Pre-mRNA-splicing factor CLF1
209053at4751	Complete	H9P43_001680-T1	412.9	305	https://www.orthodb.org/v10?query=209053at4751	serine-tRNA ligase
209619at4751	Complete	H9P43_003570-T1	282.4	232	https://www.orthodb.org/v10?query=209619at4751	Threonylcarbamoyl-AMP synthase
210178at4751	Complete	H9P43_009900-T1	221.0	254	https://www.orthodb.org/v10?query=210178at4751	Asparagine synthase
210462at4751	Missing
210986at4751	Complete	H9P43_007841-T1	220.1	270	https://www.orthodb.org/v10?query=210986at4751	FACT complex subunit POB3
211442at4751	Complete	H9P43_009809-T1	211.7	240	https://www.orthodb.org/v10?query=211442at4751	endoplasmic oxidoreductin
211634at4751	Complete	H9P43_003085-T1	323.9	245	https://www.orthodb.org/v10?query=211634at4751	Homoisocitrate dehydrogenase
211768at4751	Complete	H9P43_002995-T1	372.8	303	https://www.orthodb.org/v10?query=211768at4751	60S ribosomal export protein NMD3
212522at4751	Complete	H9P43_004006-T1	233.1	235	https://www.orthodb.org/v10?query=212522at4751	Cyclin-like
212735at4751	Fragmented	H9P43_006670-T1	81.6	159	https://www.orthodb.org/v10?query=212735at4751	zf-ZPR1-domain-containing protein
213564at4751	Complete	H9P43_003452-T1	176.1	179	https://www.orthodb.org/v10?query=213564at4751	Lipoate-protein ligase A
215926at4751	Duplicated	H9P43_008939-T1	301.7	253	https://www.orthodb.org/v10?query=215926at4751	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61
215926at4751	Duplicated	H9P43_004657-T1	301.2	253	https://www.orthodb.org/v10?query=215926at4751	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61
216270at4751	Complete	H9P43_007626-T1	403.4	323	https://www.orthodb.org/v10?query=216270at4751	Rab GDP dissociation inhibitor
216661at4751	Complete	H9P43_008039-T1	376.1	246	https://www.orthodb.org/v10?query=216661at4751	Cytoplasmic tRNA 2-thiolation protein 1
216683at4751	Complete	H9P43_001494-T1	302.4	242	https://www.orthodb.org/v10?query=216683at4751	Phenylalanyl-tRNA synthetase
216747at4751	Complete	H9P43_000661-T1	287.5	285	https://www.orthodb.org/v10?query=216747at4751	Transcription initiation factor TFIID subunit 6
216949at4751	Complete	H9P43_003426-T1	143.6	295	https://www.orthodb.org/v10?query=216949at4751	Topoisomerase II-associated protein PAT1
217097at4751	Complete	H9P43_007598-T1	237.1	232	https://www.orthodb.org/v10?query=217097at4751	kinase-like protein
217374at4751	Complete	H9P43_007736-T1	304.3	240	https://www.orthodb.org/v10?query=217374at4751	Fructose-1,6-bisphosphatase
219236at4751	Complete	H9P43_001214-T1	469.7	300	https://www.orthodb.org/v10?query=219236at4751	Actin family
219492at4751	Missing
221926at4751	Missing
224693at4751	Complete	H9P43_000934-T1	307.6	292	https://www.orthodb.org/v10?query=224693at4751	Dol-P-Man
224775at4751	Complete	H9P43_008440-T1	293.5	257	https://www.orthodb.org/v10?query=224775at4751	P-loop containing nucleoside triphosphate hydrolase protein
224804at4751	Complete	H9P43_008622-T1	239.8	196	https://www.orthodb.org/v10?query=224804at4751	Actin-related protein 2/3 complex subunit
225321at4751	Complete	H9P43_004244-T1	669.7	380	https://www.orthodb.org/v10?query=225321at4751	Actin family
225351at4751	Missing
225535at4751	Complete	H9P43_008584-T1	310.5	342	https://www.orthodb.org/v10?query=225535at4751	Transcriptional adapter 2
225712at4751	Complete	H9P43_009616-T1	65.5	188	https://www.orthodb.org/v10?query=225712at4751	PEBP-like protein
225820at4751	Complete	H9P43_008625-T1	176.1	200	https://www.orthodb.org/v10?query=225820at4751	Putative transferase CAF17, mitochondrial
225918at4751	Missing
226810at4751	Complete	H9P43_003967-T1	311.3	250	https://www.orthodb.org/v10?query=226810at4751	Bystin
227572at4751	Complete	H9P43_007979-T1	277.2	231	https://www.orthodb.org/v10?query=227572at4751	WD40 repeat
228465at4751	Complete	H9P43_005016-T1	149.9	250	https://www.orthodb.org/v10?query=228465at4751	Tetratricopeptide-like helical domain superfamily
228752at4751	Complete	H9P43_003299-T1	242.9	413	https://www.orthodb.org/v10?query=228752at4751	Cdc37
229510at4751	Complete	H9P43_008772-T1	276.4	333	https://www.orthodb.org/v10?query=229510at4751	tRNA (guanine(37)-N1)-methyltransferase
229997at4751	Missing
230605at4751	Missing
231468at4751	Complete	H9P43_009842-T1	220.1	264	https://www.orthodb.org/v10?query=231468at4751	Translation initiation factor eIF-2B subunit delta
231582at4751	Complete	H9P43_008092-T1	249.1	258	https://www.orthodb.org/v10?query=231582at4751	NADPH
232698at4751	Complete	H9P43_003870-T1	501.4	478	https://www.orthodb.org/v10?query=232698at4751	Protein SEY1
233287at4751	Complete	H9P43_000849-T1	303.6	264	https://www.orthodb.org/v10?query=233287at4751	ATP-dependent RNA helicase DBP5
233706at4751	Complete	H9P43_010127-T1	247.8	239	https://www.orthodb.org/v10?query=233706at4751	tRNA-dihydrouridine synthase
234548at4751	Complete	H9P43_006115-T1	284.6	799	https://www.orthodb.org/v10?query=234548at4751	Nucleolar pre-ribosomal-associated protein 1, C-terminal domain
234698at4751	Complete	H9P43_009751-T1	332.6	278	https://www.orthodb.org/v10?query=234698at4751	P-loop containing nucleoside triphosphate hydrolase protein
235105at4751	Complete	H9P43_010093-T1	350.9	293	https://www.orthodb.org/v10?query=235105at4751	UAA transporter
235463at4751	Missing
235640at4751	Complete	H9P43_008254-T1	322.9	325	https://www.orthodb.org/v10?query=235640at4751	26S proteasome non-ATPase regulatory subunit 12
236504at4751	Complete	H9P43_009418-T1	639.5	379	https://www.orthodb.org/v10?query=236504at4751	Protein phosphatase PP2A regulatory subunit B
237276at4751	Complete	H9P43_002355-T1	382.4	332	https://www.orthodb.org/v10?query=237276at4751	Glucose-6-phosphate 1-dehydrogenase
237281at4751	Complete	H9P43_007556-T1	217.0	249	https://www.orthodb.org/v10?query=237281at4751	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial
237393at4751	Fragmented	H9P43_007924-T1	188.9	273	https://www.orthodb.org/v10?query=237393at4751	Nucleolar complex-associated protein 3
237533at4751	Complete	H9P43_001388-T1	245.6	167	https://www.orthodb.org/v10?query=237533at4751	ATPase, AAA-type, conserved site
238922at4751	Complete	H9P43_002376-T1	198.1	308	https://www.orthodb.org/v10?query=238922at4751	Protein kinase domain
240036at4751	Complete	H9P43_005060-T1	592.2	503	https://www.orthodb.org/v10?query=240036at4751	Pescadillo homolog
240246at4751	Missing
241079at4751	Complete	H9P43_006344-T1	275.5	296	https://www.orthodb.org/v10?query=241079at4751	Adenylyl cyclase-associated protein
241483at4751	Complete	H9P43_002020-T1	412.4	380	https://www.orthodb.org/v10?query=241483at4751	WD40-repeat-containing domain
241586at4751	Complete	H9P43_003485-T1	365.1	388	https://www.orthodb.org/v10?query=241586at4751	WD40-repeat-containing domain
241860at4751	Complete	H9P43_004912-T1	398.9	280	https://www.orthodb.org/v10?query=241860at4751	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1
243015at4751	Missing
244066at4751	Complete	H9P43_001823-T1	369.0	299	https://www.orthodb.org/v10?query=244066at4751	Gamma-glutamyl phosphate reductase
245480at4751	Complete	H9P43_003551-T1	342.3	340	https://www.orthodb.org/v10?query=245480at4751	Replication protein A subunit
245900at4751	Complete	H9P43_009557-T1	358.2	309	https://www.orthodb.org/v10?query=245900at4751	Phosphoglycerate kinase
246207at4751	Complete	H9P43_002723-T1	217.5	219	https://www.orthodb.org/v10?query=246207at4751	WD40-repeat-containing domain
246951at4751	Missing
247065at4751	Complete	H9P43_000246-T1	186.5	407	https://www.orthodb.org/v10?query=247065at4751	SNU66/SART1 family
247129at4751	Complete	H9P43_007375-T1	239.4	275	https://www.orthodb.org/v10?query=247129at4751	kinase-like protein
247383at4751	Complete	H9P43_007783-T1	109.3	182	https://www.orthodb.org/v10?query=247383at4751	Elongator complex protein 4
248360at4751	Complete	H9P43_001876-T1	357.1	346	https://www.orthodb.org/v10?query=248360at4751	3'-5' exonuclease activity
251158at4751	Complete	H9P43_002787-T1	439.9	267	https://www.orthodb.org/v10?query=251158at4751	tRNA N6-adenosine threonylcarbamoyltransferase
251613at4751	Complete	H9P43_009620-T1	261.6	248	https://www.orthodb.org/v10?query=251613at4751	AFG1-like ATPase
252314at4751	Fragmented	H9P43_004431-T1	42.8	77	https://www.orthodb.org/v10?query=252314at4751	Uncharacterised protein family UPF0363
252469at4751	Complete	H9P43_004721-T1	302.7	281	https://www.orthodb.org/v10?query=252469at4751	Phosphatidate cytidylyltransferase
254717at4751	Complete	H9P43_008560-T1	350.0	241	https://www.orthodb.org/v10?query=254717at4751	ATPase GET3
255378at4751	Complete	H9P43_004155-T1	269.8	312	https://www.orthodb.org/v10?query=255378at4751	WD40-repeat-containing domain
255412at4751	Complete	H9P43_001385-T1	461.0	296	https://www.orthodb.org/v10?query=255412at4751	Pre-mRNA-splicing factor prp46
256318at4751	Complete	H9P43_007507-T1	471.5	351	https://www.orthodb.org/v10?query=256318at4751	WD40-repeat-containing domain
256914at4751	Complete	H9P43_007978-T1	210.8	301	https://www.orthodb.org/v10?query=256914at4751	Mitochondrial import inner membrane translocase subunit TIM44
257330at4751	Missing
258245at4751	Complete	H9P43_002734-T1	570.1	348	https://www.orthodb.org/v10?query=258245at4751	tryptophanyl-tRNA synthetase
258762at4751	Complete	H9P43_001106-T1	158.0	184	https://www.orthodb.org/v10?query=258762at4751	Ribonuclease III
259060at4751	Missing
259444at4751	Complete	H9P43_009075-T1	125.5	250	https://www.orthodb.org/v10?query=259444at4751	WD40-repeat-containing domain
259700at4751	Complete	H9P43_002349-T1	149.3	237	https://www.orthodb.org/v10?query=259700at4751	RNA 3'-terminal phosphate cyclase
259883at4751	Duplicated	H9P43_006971-T1	41.8	83	https://www.orthodb.org/v10?query=259883at4751	Zinc finger, CCCH-type
259883at4751	Duplicated	H9P43_006977-T1	41.8	83	https://www.orthodb.org/v10?query=259883at4751	Zinc finger, CCCH-type
260251at4751	Complete	H9P43_008885-T1	292.8	222	https://www.orthodb.org/v10?query=260251at4751	ATP phosphoribosyltransferase
260722at4751	Complete	H9P43_007119-T1	341.8	211	https://www.orthodb.org/v10?query=260722at4751	Deoxyhypusine synthase
260896at4751	Missing
261237at4751	Missing
262317at4751	Missing
263390at4751	Complete	H9P43_009853-T1	307.7	325	https://www.orthodb.org/v10?query=263390at4751	RNA polymerase II transcription factor B subunit 2
264038at4751	Complete	H9P43_004297-T1	343.6	329	https://www.orthodb.org/v10?query=264038at4751	KEN domain
264164at4751	Fragmented	H9P43_009334-T1	186.9	225	https://www.orthodb.org/v10?query=264164at4751	Ankyrin repeat-containing domain
265302at4751	Missing
265325at4751	Missing
266634at4751	Complete	H9P43_001205-T1	294.5	326	https://www.orthodb.org/v10?query=266634at4751	SH3 domain
267556at4751	Complete	H9P43_009093-T1	136.1	145	https://www.orthodb.org/v10?query=267556at4751	Mitochondrial matrix Mmp37
269389at4751	Complete	H9P43_001263-T1	417.2	303	https://www.orthodb.org/v10?query=269389at4751	V-type proton ATPase subunit
269580at4751	Complete	H9P43_006175-T1	198.5	311	https://www.orthodb.org/v10?query=269580at4751	Protein HGH1 N-terminal
269939at4751	Complete	H9P43_004649-T1	202.5	367	https://www.orthodb.org/v10?query=269939at4751	Winged helix-like DNA-binding domain superfamily
271511at4751	Complete	H9P43_009358-T1	163.1	200	https://www.orthodb.org/v10?query=271511at4751	25S rRNA (Cytosine-C(5))-methyltransferase rcm1
271781at4751	Complete	H9P43_004107-T1	96.6	247	https://www.orthodb.org/v10?query=271781at4751	CTLH, C-terminal LisH motif
271850at4751	Complete	H9P43_000822-T1	100.0	167	https://www.orthodb.org/v10?query=271850at4751	N-acetylglucosaminyl transferase component
272081at4751	Complete	H9P43_001576-T1	64.3	102	https://www.orthodb.org/v10?query=272081at4751	ribosomal protein S5 domain 2-like protein
272711at4751	Complete	H9P43_001900-T1	223.8	233	https://www.orthodb.org/v10?query=272711at4751	Putative 26S proteasome regulatory subunit rpn9
273469at4751	Complete	H9P43_008157-T1	212.0	240	https://www.orthodb.org/v10?query=273469at4751	tRNA (Adenine(58)-N(1))-methyltransferase non-catalytic subunit trm6
274828at4751	Complete	H9P43_000807-T1	228.7	262	https://www.orthodb.org/v10?query=274828at4751	GPI-anchored wall transfer protein
276205at4751	Complete	H9P43_003519-T1	384.8	215	https://www.orthodb.org/v10?query=276205at4751	Serine/threonine-protein phosphatase
278643at4751	Complete	H9P43_004460-T1	165.4	281	https://www.orthodb.org/v10?query=278643at4751	Phosphatidylinositol-glycan biosynthesis class S protein
279020at4751	Complete	H9P43_001266-T1	232.4	208	https://www.orthodb.org/v10?query=279020at4751	alpha-L RNA-binding motif-containing protein
280937at4751	Complete	H9P43_000196-T1	291.9	202	https://www.orthodb.org/v10?query=280937at4751	S-methyl-5'-thioadenosine phosphorylase
281299at4751	Complete	H9P43_010192-T1	252.9	240	https://www.orthodb.org/v10?query=281299at4751	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2
281726at4751	Complete	H9P43_007364-T1	252.8	163	https://www.orthodb.org/v10?query=281726at4751	Proteasome subunit beta type
281920at4751	Complete	H9P43_008361-T1	306.6	291	https://www.orthodb.org/v10?query=281920at4751	tRNA pseudouridine synthase
282059at4751	Complete	H9P43_009558-T1	471.2	283	https://www.orthodb.org/v10?query=282059at4751	Pyruvate dehydrogenase E1 component subunit beta
282964at4751	Complete	H9P43_007238-T1	208.2	187	https://www.orthodb.org/v10?query=282964at4751	Gtr1/RagA G protein
283177at4751	Complete	H9P43_003475-T1	195.6	231	https://www.orthodb.org/v10?query=283177at4751	adenosylmethionine decarboxylase
284127at4751	Complete	H9P43_003316-T1	470.6	299	https://www.orthodb.org/v10?query=284127at4751	S-adenosylmethionine synthase
284176at4751	Complete	H9P43_007481-T1	113.2	122	https://www.orthodb.org/v10?query=284176at4751	Pseudouridine synthase
284287at4751	Missing
284377at4751	Missing
285254at4751	Complete	H9P43_007169-T1	271.6	231	https://www.orthodb.org/v10?query=285254at4751	Glutamyl-tRNA synthetase
285477at4751	Complete	H9P43_002119-T1	153.5	131	https://www.orthodb.org/v10?query=285477at4751	RNA polymerase II subunit A
285977at4751	Complete	H9P43_008135-T1	123.5	210	https://www.orthodb.org/v10?query=285977at4751	Mitochondrial import inner membrane translocase subunit tim54
289666at4751	Complete	H9P43_007313-T1	223.8	186	https://www.orthodb.org/v10?query=289666at4751	Diphthine synthase
289686at4751	Complete	H9P43_008472-T1	43.3	69	https://www.orthodb.org/v10?query=289686at4751	Nucleotide exchange factor Fes1
290314at4751	Complete	H9P43_004685-T1	410.3	275	https://www.orthodb.org/v10?query=290314at4751	Ribosomal protein L4/L1e
290471at4751	Complete	H9P43_007045-T1	111.5	124	https://www.orthodb.org/v10?query=290471at4751	Rmd5
291828at4751	Complete	H9P43_008363-T1	107.7	149	https://www.orthodb.org/v10?query=291828at4751	Protein phosphatase methylesterase 1
292336at4751	Complete	H9P43_008680-T1	333.9	325	https://www.orthodb.org/v10?query=292336at4751	Glycylpeptide N-tetradecanoyltransferase
292418at4751	Complete	H9P43_007571-T1	588.3	438	https://www.orthodb.org/v10?query=292418at4751	Pyruvate kinase
293405at4751	Complete	H9P43_009482-T1	379.7	241	https://www.orthodb.org/v10?query=293405at4751	Lipoyl synthase, mitochondrial
295692at4751	Missing
295937at4751	Complete	H9P43_007830-T1	289.2	212	https://www.orthodb.org/v10?query=295937at4751	KRR1 small subunit processome component
296024at4751	Complete	H9P43_004955-T1	326.8	317	https://www.orthodb.org/v10?query=296024at4751	Translation initiation factor eIF-2B subunit beta
296643at4751	Complete	H9P43_004267-T1	133.7	186	https://www.orthodb.org/v10?query=296643at4751	Ribosomal protein S5 domain 2-type fold
297145at4751	Complete	H9P43_010105-T1	120.7	178	https://www.orthodb.org/v10?query=297145at4751	TRAUB-domain-containing protein
297671at4751	Complete	H9P43_001893-T1	254.9	236	https://www.orthodb.org/v10?query=297671at4751	Tyrosine--tRNA ligase
298335at4751	Complete	H9P43_008689-T1	399.7	530	https://www.orthodb.org/v10?query=298335at4751	GPI transamidase component GAA1
298379at4751	Complete	H9P43_009715-T1	68.4	113	https://www.orthodb.org/v10?query=298379at4751	Ubiquinone biosynthesis O-methyltransferase, mitochondrial
299054at4751	Complete	H9P43_002441-T1	188.2	251	https://www.orthodb.org/v10?query=299054at4751	SNARE
299330at4751	Missing
299509at4751	Missing
299559at4751	Complete	H9P43_007377-T1	272.1	237	https://www.orthodb.org/v10?query=299559at4751	Ribosome production factor 2
299583at4751	Complete	H9P43_003987-T1	100.9	105	https://www.orthodb.org/v10?query=299583at4751	Gtr1/RagA G protein
299611at4751	Complete	H9P43_008128-T1	176.4	264	https://www.orthodb.org/v10?query=299611at4751	WD40-repeat-containing domain
300016at4751	Complete	H9P43_009966-T1	393.1	228	https://www.orthodb.org/v10?query=300016at4751	26S proteasome non-ATPase regulatory subunit 14
300216at4751	Complete	H9P43_001720-T1	338.8	341	https://www.orthodb.org/v10?query=300216at4751	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial
302127at4751	Fragmented	H9P43_008965-T1	235.2	239	https://www.orthodb.org/v10?query=302127at4751	Integral membrane protein
304341at4751	Complete	H9P43_003956-T1	246.0	196	https://www.orthodb.org/v10?query=304341at4751	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
304453at4751	Complete	H9P43_002724-T1	116.2	217	https://www.orthodb.org/v10?query=304453at4751	V-type proton ATPase subunit C
304547at4751	Complete	H9P43_002607-T1	47.5	238	https://www.orthodb.org/v10?query=304547at4751	Ribosome biogenesis protein NOP53
304733at4751	Complete	H9P43_004740-T1	184.9	239	https://www.orthodb.org/v10?query=304733at4751	Vesicular-fusion protein sec17
305061at4751	Missing
306594at4751	Complete	H9P43_007628-T1	203.2	290	https://www.orthodb.org/v10?query=306594at4751	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1
307144at4751	Fragmented	H9P43_004737-T1	245.5	302	https://www.orthodb.org/v10?query=307144at4751	Rab-GTPase-TBC domain
308236at4751	Complete	H9P43_004618-T1	350.0	443	https://www.orthodb.org/v10?query=308236at4751	Sda1
308816at4751	Complete	H9P43_001193-T1	378.2	416	https://www.orthodb.org/v10?query=308816at4751	Splicing factor 3a subunit 3
310718at4751	Complete	H9P43_002913-T1	314.4	541	https://www.orthodb.org/v10?query=310718at4751	Exocyst complex component Sec6
310891at4751	Complete	H9P43_007483-T1	540.8	559	https://www.orthodb.org/v10?query=310891at4751	Pre-mRNA-splicing factor cef1
311048at4751	Complete	H9P43_004701-T1	226.6	255	https://www.orthodb.org/v10?query=311048at4751	Deoxyhypusine hydroxylase
311254at4751	Complete	H9P43_010110-T1	157.2	358	https://www.orthodb.org/v10?query=311254at4751	Nuclear segregation protein
312080at4751	Complete	H9P43_007469-T1	251.0	227	https://www.orthodb.org/v10?query=312080at4751	Autophagy-related protein 3
312209at4751	Complete	H9P43_003725-T1	59.8	82	https://www.orthodb.org/v10?query=312209at4751	adenine nucleotide alpha hydrolases-like protein
312950at4751	Complete	H9P43_004329-T1	196.7	222	https://www.orthodb.org/v10?query=312950at4751	Cell division cycle protein 123
315551at4751	Complete	H9P43_008929-T1	390.2	286	https://www.orthodb.org/v10?query=315551at4751	Delta-aminolevulinic acid dehydratase
315639at4751	Duplicated	H9P43_006192-T1	263.7	223	https://www.orthodb.org/v10?query=315639at4751	Rhodanese-like domain
315639at4751	Duplicated	H9P43_006180-T1	262.0	222	https://www.orthodb.org/v10?query=315639at4751	Rhodanese-like domain
315799at4751	Complete	H9P43_006198-T1	201.7	247	https://www.orthodb.org/v10?query=315799at4751	WD40-repeat-containing domain
315802at4751	Complete	H9P43_006195-T1	141.3	194	https://www.orthodb.org/v10?query=315802at4751	tRNA dimethylallyltransferase
316254at4751	Complete	H9P43_001443-T1	196.1	218	https://www.orthodb.org/v10?query=316254at4751	glycosyltransferase family 50 protein
316920at4751	Complete	H9P43_008800-T1	126.7	175	https://www.orthodb.org/v10?query=316920at4751	Lysophospholipid acyltransferase
317276at4751	Missing
317335at4751	Complete	H9P43_009236-T1	200.8	237	https://www.orthodb.org/v10?query=317335at4751	Anthranilate phosphoribosyltransferase
319121at4751	Complete	H9P43_005368-T1	217.6	233	https://www.orthodb.org/v10?query=319121at4751	Zinc finger, UBR-type
320163at4751	Complete	H9P43_004118-T1	222.9	241	https://www.orthodb.org/v10?query=320163at4751	Ribonuclease Nob1, eukaryote
320638at4751	Complete	H9P43_002418-T1	668.4	469	https://www.orthodb.org/v10?query=320638at4751	Nucleotide-diphospho-sugar transferase
320777at4751	Missing
320782at4751	Fragmented	H9P43_007242-T1	94.2	230	https://www.orthodb.org/v10?query=320782at4751	RNA polymerase I associated factor, A49-like protein
321416at4751	Complete	H9P43_009160-T1	483.2	592	https://www.orthodb.org/v10?query=321416at4751	Pre-mRNA-splicing factor syf1
321585at4751	Complete	H9P43_002935-T1	330.8	247	https://www.orthodb.org/v10?query=321585at4751	U3 small nucleolar ribonucleoprotein IMP4
321728at4751	Complete	H9P43_002172-T1	273.6	193	https://www.orthodb.org/v10?query=321728at4751	GPI-anchor transamidase
322254at4751	Complete	H9P43_005448-T1	79.9	174	https://www.orthodb.org/v10?query=322254at4751	Histone acetyltransferase type B catalytic subunit
322267at4751	Complete	H9P43_004279-T1	94.5	151	https://www.orthodb.org/v10?query=322267at4751	ubiquitin carboxyl-terminal hydrolase
323327at4751	Complete	H9P43_008431-T1	225.1	242	https://www.orthodb.org/v10?query=323327at4751	Translation initiation factor eIF-2B subunit alpha
324442at4751	Fragmented	H9P43_002377-T1	61.0	71	https://www.orthodb.org/v10?query=324442at4751	Cell division control protein 73, C-terminal
325992at4751	Missing
326512at4751	Missing
326649at4751	Complete	H9P43_001496-T1	521.6	413	https://www.orthodb.org/v10?query=326649at4751	Phosphoacetylglucosamine mutase
327672at4751	Complete	H9P43_003892-T1	85.9	202	https://www.orthodb.org/v10?query=327672at4751	CDK-activating kinase assembly factor MAT1
327748at4751	Complete	H9P43_001304-T1	273.6	286	https://www.orthodb.org/v10?query=327748at4751	Zinc finger, RING/FYVE/PHD-type
327884at4751	Complete	H9P43_004185-T1	333.1	230	https://www.orthodb.org/v10?query=327884at4751	60S acidic ribosomal protein P0
329067at4751	Fragmented	H9P43_001315-T1	112.6	214	https://www.orthodb.org/v10?query=329067at4751	Anaphase-promoting complex subunit 2
330533at4751	Complete	H9P43_001930-T1	198.8	260	https://www.orthodb.org/v10?query=330533at4751	Xaa-pro dipeptidase app
330551at4751	Complete	H9P43_002806-T1	179.7	238	https://www.orthodb.org/v10?query=330551at4751	Rab proteins geranylgeranyltransferase
330629at4751	Complete	H9P43_008626-T1	243.7	182	https://www.orthodb.org/v10?query=330629at4751	Proteasome subunit beta type
330815at4751	Complete	H9P43_009538-T1	310.0	232	https://www.orthodb.org/v10?query=330815at4751	Translation initiation factor 2, alpha subunit
